sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s101,109,1,12,0.7843794579131916,4.483
s101,110,2,12,0.770474928896274,8.053
s101,111,1,4,0.5534050137356079,2.526
s101,112,2,8,0.7639737839427703,6.202
s101,113,2,4,0.1949483601870144,2.058
s101,114,3,8,0.7086028425234339,3.828
s101,115,3,8,0.6224257568305575,3.3
s101,116,3,12,0.8149820329520198,4.695
s101,117,1,8,0.8150258633330908,4.38
s101,118,3,4,0.416177496178103,2.103
s101,119,3,4,0.32814664590761133,1.771
s101,120,3,4,0.40103005724547774,1.996
s101,121,2,12,1.3733392295875904,15.058
s101,122,2,4,0.3664806795220801,3.682
s101,123,3,4,0.3694642567414211,2.053
s101,124,3,4,0.5035094769325951,2.306
s101,125,1,8,0.728864960562972,4.399
s101,126,2,4,0.3099172462622223,2.432
s101,127,1,4,0.5317310007151382,2.384
s101,128,1,12,0.7344278789222621,4.395
s101,129,1,8,0.797084250123013,3.993
s101,130,3,12,0.7712563935593598,4.57
s101,131,1,8,0.7918630366585008,3.746
s101,132,1,12,0.794524020649029,4.219
s101,133,1,12,0.7690816288948601,4.45
s101,134,2,4,0.4691138203218463,3.964
s101,135,2,12,1.011357573090302,9.241
s101,136,1,8,0.7240040085416184,3.695
s101,137,3,12,0.8204036039679322,4.393
s101,138,4,12,0.8570358461628241,6.214
s101,139,2,8,0.6801861032473389,4.856
s101,140,3,12,0.8940047293360689,4.755
s101,141,3,8,0.4830988964787074,2.27
s101,142,3,8,0.7601885812983312,3.802
s101,143,2,12,0.7379505804725979,7.926
s101,144,3,12,0.8242001052804371,4.212
s101,145,3,12,0.7652723787552181,4.186
s101,146,2,12,0.8564815547145008,8.14
s101,147,3,8,0.6736926140542701,3.35
s101,148,3,4,0.3125932838485236,1.763
s101,149,2,12,0.7998400890808931,6.5
s101,150,1,4,0.5132732590342631,2.926
s101,151,1,8,0.5600941818602523,3.196
s101,152,3,4,0.3275723680330908,1.746
s101,153,4,12,0.534807246344259,4.383
s101,154,2,4,0.35293349874526847,2.925
s101,155,2,4,0.29922202012108606,3.596
s101,156,3,8,0.6906461203117407,3.234
s101,157,1,12,0.7015776715135894,4.211
s101,158,2,8,0.7953295276135622,7.331
s101,159,3,4,0.34593275925378925,2.035
s101,160,3,8,0.46558058705974137,2.408
s101,161,2,8,0.4873581522918994,3.984
s101,162,1,4,0.40743514355527777,3.106
s101,163,1,4,0.2980691209315153,1.449
s101,164,3,8,0.5941706962444055,2.788
s101,165,3,12,0.6503742664659525,5.133
s101,166,1,8,0.6068968117272306,3.833
s101,167,4,12,0.6868055287958639,9.434
s101,168,2,8,0.9156540630268508,7.917
s101,169,3,4,0.4041645457324507,2.477
s101,170,2,8,0.8590916486326249,7.652
s101,171,3,8,0.734004214947357,3.685
s101,172,3,8,0.5315813127932086,2.85
s101,173,3,8,0.6043074369870671,3.247
s101,174,2,12,0.6917742048851615,7.414
s101,175,1,12,0.8862050555645037,4.727
s101,176,3,12,0.9368550974722069,5.346
s101,177,3,12,0.9008108667068804,5.038
s101,178,3,8,0.6159277000893243,3.161
s101,179,3,8,0.7054325599809617,6.822
s101,180,1,8,0.5053343292411844,3.365
s102,1,3,12,0.8118251148591987,4.321
s102,2,3,12,1.12633492733293,4.735
s102,3,1,8,0.7037680105485279,3.681
s102,4,1,4,0.39504847382600145,2.073
s102,5,2,12,0.8156510476770841,6.469
s102,6,4,8,1.331291745253567,8.06
s102,7,2,4,0.42330952922467074,3.304
s102,8,3,8,0.8231083631526449,4.76
s102,9,3,4,0.5408136576503245,2.965
s102,10,1,4,0.4436116616469702,2.576
s102,11,3,4,0.41907524292723264,2.304
s102,12,4,12,1.5015469817077691,10.352
s102,13,3,4,0.4052275664173496,2.589
s102,14,1,12,1.0779029031521612,5.377
s102,15,3,8,0.7113281073551608,3.609
s102,16,2,8,0.6009526763251415,5.005
s102,17,4,8,0.6723806944360203,5.278
s102,18,2,4,0.35465806054401733,2.975
s102,19,4,12,1.4859758196163646,9.343
